20230314	14:04:37	329b557f-6d38-40ec-8de8-ff221dca0fa1	/new-page	GET
20230314	14:04:37	0f312619-0635-4f0d-a504-1800463bb497	/css/style.css	GET
20230314	14:04:37	7753188f-941c-451a-9c59-76d0d9b16099	/img/grid.jpg	GET
20230314	14:05:31	643d31a4-c509-4b0b-b140-881d8fb3ee49	/new-page	GET
20230314	14:06:20	88cd3b89-845b-44e5-a781-face2ee56d7c	/new-page	GET
20230314	14:06:20	0f4acbaf-c825-4f34-a979-5be64e9212bb	/css/style.css	GET
20230314	14:06:20	ce88a5ac-6253-458d-b028-0355e0e097fb	/img/grid.jpg	GET
20230314	14:06:20	40f01fcd-4523-478b-956b-61a9dc95eb9b	/favicon.ico	GET
20230314	14:06:25	cdf1d11f-377d-43f8-b107-92f5d395b551	/	GET
20230314	14:06:25	99464d13-e98f-4d05-b63a-51c64faeb74d	/css/style.css	GET
20230314	14:46:15	196c2a6d-2957-4afa-a157-ac24b85593b4	GET	undefined	/
20230314	14:46:15	b10b9ab5-64bf-4729-9efe-bc91511047c1	GET	undefined	/css/style.css
20230314	14:46:15	740e3e45-86b3-493f-947e-3ccc19d46a38	GET	undefined	/favicon.ico
20230314	14:48:35	df3de26c-02ce-48f2-b7e0-5f550dcb0603	GET	undefined	/
20230314	14:48:35	9ecefdd6-84bc-4815-8c3e-30c5b0f85d8a	GET	undefined	/css/style.css
20230314	14:48:36	34006b6b-75c8-443c-9c2e-8987f3e9de6b	GET	undefined	/favicon.ico
20230314	14:50:26	bea59c5c-22a0-41b0-b9c1-3f2b6bb3eca0	OPTIONS	https://www.google.com	/
20230314	14:50:26	4f5c3985-3317-4915-ac7c-720d3b6467ea	GET	https://www.google.com	/
20230314	14:52:54	19eef3b5-c964-47a0-b612-cc289dfc37c9	OPTIONS	https://www.google.com	/
20230314	14:52:54	d72d40f7-6be9-4578-85fd-6c63737893bb	GET	https://www.google.com	/
20230314	14:55:32	ccc92212-befb-4ed3-9c69-02994aa5ba6f	GET	undefined	/
20230314	14:55:32	e907ed94-0f55-4758-96a7-9199d0bbae4a	GET	undefined	/css/style.css
20230314	14:58:22	25bedd12-dec0-4025-815f-d0b64173a3e0	OPTIONS	https://www.google.com	/
20230314	14:58:22	ca6c6a96-a1eb-4481-a6ed-e59a1bb48392	GET	https://www.google.com	/
20230314	14:58:41	1a19140f-e614-4b5e-91bd-670ea9f5b771	OPTIONS	https://www.google.com	/
20230314	14:58:41	b6676e2d-2041-436b-ad06-bb9d8c4ec575	GET	https://www.google.com	/
20230314	14:59:00	3a37e32e-9af6-44b9-b080-fec96031a306	OPTIONS	https://www.google.com	/
20230314	14:59:00	d915c54d-5639-4fff-960c-eee26292ceb6	GET	https://www.google.com	/
20230314	15:09:17	3dbf0d67-d8cc-4aa8-af0a-ba63ebe2fc85	GET	undefined	/
20230314	15:10:05	a72c0c44-ded2-420b-8c4d-28d30611de17	GET	undefined	/
20230314	15:10:05	c702328e-f822-452f-817a-122f0e79b956	GET	undefined	/css/style.css
20230314	15:10:05	8eb372a1-e36d-4344-b94b-5492ae04cf14	GET	undefined	/favicon.ico
20230314	15:13:53	dd473f1e-13fe-44ee-b55e-5c6978cbb121	GET	undefined	/
20230314	15:13:53	88b09d77-e476-44de-aa77-e9169ed478d6	GET	undefined	/css/style.css
20230314	15:13:53	e2779d2e-33d2-4bae-a2a7-ed7b3110b312	GET	undefined	/favicon.ico
20230314	15:16:58	3d311181-5cb7-4679-b4e5-5c81c965b764	GET	undefined	/
20230314	15:16:58	97c54c4c-ff9d-430f-8604-d2ae78d20b98	GET	undefined	/css/style.css
20230314	15:17:01	81b22c00-68b2-43ad-be60-58b9247a9c93	GET	undefined	/dave
20230314	15:17:01	ece03eaf-7959-48fe-89c4-a8c463989df0	GET	undefined	/css/style.css
20230314	15:19:04	386f5b5a-1ebd-4dae-8794-331cd2a13c5e	GET	undefined	/
20230314	15:19:04	dcf80e00-12b6-4b6b-842f-5478a2df2434	GET	undefined	/css/style.css
20230314	15:19:04	9bc47dc0-d9de-4578-ab45-cff8c708a845	GET	undefined	/favicon.ico
20230314	15:19:10	3194cbb2-9690-4397-bd20-7fe1c0b25025	GET	undefined	/
20230314	15:19:10	2c690b3f-1427-4f39-b091-fdca639ab508	GET	undefined	/css/style.css
20230314	15:19:13	eb1ae42c-3b39-4d11-afae-934f97a28da9	GET	undefined	/dave
20230314	15:19:36	2d498972-1321-4207-9991-f91544c7ea0a	GET	undefined	/dave
20230314	15:19:36	db02be5c-6e4a-4b88-9327-69f2877c6a9d	GET	undefined	/css/style.css
20230314	15:19:36	bcde917d-66a2-4b72-a873-fcfec5170080	GET	undefined	/favicon.ico
